artist,year,song,album
"Irene Cara",1983,"Flashdance... What a Feeling",NULL
"Rihanna & Jay-Z",2007,Umbrella,NULL
"P Diddy & Faith Evans",1997,"I'll Be Missing You",NULL
"Bobby Darin",1959,"Mack the Knife",NULL
"John Travolta & Olivia Newton-John",1978,"You're the One That I Want",NULL
"Los Del Rio",1996,Macarena,NULL
"Shakira & Wyclef Jean",2006,"Hips don't lie",NULL
"Mungo Jerry",1970,"In the Summertime",NULL
"Vaughn Monroe",1949,"(Ghost) Riders in the Sky",NULL
"Carl Douglas",1974,"Kung Fu Fighting",NULL
"Rihanna & Calvin Harris",2011,"We Found Love",NULL
All-4-One,1994,"I Swear",NULL
"Doris Day",1956,"Que sera sera (Whatever will be will be)",NULL
"Flo-Rida & T-Pain",2008,Low,NULL
"Terry Jacks",1974,"Seasons in the Sun",NULL
"Tony Orlando & Dawn",1973,"Tie a Yellow Ribbon 'round the Old Oak Tree",NULL
"Shocking Blue",1970,Venus,NULL
"Chubby Checker",1960,"The Twist",NULL
"Nelly & Kelly Rowland",2002,Dilemma,NULL
"Brandy & Monica",1998,"The Boy is Mine",NULL
"Sean Kingston",2007,"Beautiful Girls",NULL
Archies,1969,"Sugar Sugar",NULL
"Christina Aguilera, Lil' Kim, Mya & Pink",2001,"Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)",NULL
"Las Ketchup",2002,"The Ketchup Song (Asereje)",NULL
"Rob Thomas & Santana",1999,Smooth,NULL
"Timbaland & OneRepublic",2007,Apologize,NULL
"Elton John & Kiki Dee",1976,"Don't Go Breaking My Heart",NULL
"Nancy Sinatra",1966,"These Boots Are Made For Walking",NULL
"Chubby Checker",1961,"Let's Twist Again",NULL
"Percy Faith",1960,"Theme From 'A Summer Place'",NULL
LMFAO,2011,"Party Rock Anthem",NULL
"Ben E King",1961,"Stand By Me",NULL
"Bryan Adams, Rod Stewart & Sting",1994,"All For Love",NULL
"Paul McCartney & Stevie Wonder",1982,"Ebony & Ivory",NULL
"Lady GaGa & Colby O'Donis",2008,"Just Dance",NULL
"Petula Clark",1965,Downtown,NULL
"Bing Crosby & The Andrews Sisters",1944,"Don't Fence Me In",NULL
Berlin,1986,"Take My Breath Away",NULL
"Dinah Shore",1948,"Buttons & Bows",NULL
"Les Paul & Mary Ford",1953,"Vaya Con Dios (may God Be With You)",NULL
"Anton Karas",1950,"Third Man Theme",NULL
"Eminem & Rihanna",2010,"Love The Way You Lie",NULL
"Doris Day",1954,"Secret Love",NULL
"Madonna & Justin Timberlake",2008,"Four Minutes",NULL
"Gotye & Kimbra",2012,"Somebody That I Used to Know",NULL
"Dionne Warwick & Friends",1986,"That's What Friends Are For",NULL
"The Animals",1964,"House of the Rising Sun",NULL
"Tennessee Ernie Ford",1955,"Sixteen Tons",NULL
"Mary Hopkin",1968,"Those Were the Days",NULL
